NR Ano;Qe I10;Média de NR BrutaProva
2017;Trabalha eventualmente;42,800579
2017;Trabalha até 40h/semana;41,874709
2017;Trabalha até 21h-39h/semana;44,649187
2017;Trabalha até 20h/semana;43,16436
2017;Não trabalha;45,104305
2018;Trabalha eventualmente;40,83089
2018;Trabalha até 40h/semana;40,248553
2018;Trabalha até 21h-39h/semana;43,13128
2018;Trabalha até 20h/semana;41,921876
2018;Não trabalha;43,458382
2019;Trabalha eventualmente;43,608854
2019;Trabalha até 40h/semana;39,332787
2019;Trabalha até 21h-39h/semana;43,181184
2019;Trabalha até 20h/semana;44,199811
2019;Não trabalha;46,844281
